"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"39","COL3A1","0",22.304987,-1.71377066666667,-1.66446491666667,-0.0493057499999994,1.03476685616428
"40","COL3A1","0",22.469448,-1.54930966666667,-1.66446491666667,0.11515525,0.923282949889679
"41","COL3A1","0",22.351055,-1.66770266666667,-1.66446491666667,-0.00323775000000115,1.0022467574693
"42","COL3A1","0",22.291681,-1.72707666666667,-1.66446491666667,-0.0626117499999994,1.04435467416936
"43","COL3A1","0.001",22.921915,-1.75584275,-1.66446491666667,-0.091377833333337,1.06538718548839
"44","COL3A1","0.001",23.098991,-1.57876675,-1.66446491666667,0.0856981666666661,0.942328402448074
"45","COL3A1","0.001",22.859774,-1.81798375,-1.66446491666667,-0.153518833333334,1.11227909215104
"46","COL3A1","0.001",22.949917,-1.72784075,-1.66446491666667,-0.0633758333333363,1.04490793409449
"47","COL3A1","0.01",22.025686,-2.0485635,-1.66446491666667,-0.384098583333334,1.30504412190835
"48","COL3A1","0.01",22.040857,-2.0333925,-1.66446491666667,-0.368927583333336,1.29139252670024
"49","COL3A1","0.01",22.06548,-2.0087695,-1.66446491666667,-0.344304583333334,1.26953888414751
"50","COL3A1","0.01",21.98767,-2.0865795,-1.66446491666667,-0.422114583333333,1.33989001644003
"51","COL3A1","0.1",21.95272,-1.90353425,-1.66446491666667,-0.239069333333334,1.18023106175904
"52","COL3A1","0.1",22.01901,-1.83724425,-1.66446491666667,-0.172779333333332,1.12722798439119
"53","COL3A1","0.1",21.831224,-2.02503025,-1.66446491666667,-0.360565333333335,1.28392891836641
"54","COL3A1","0.1",21.872307,-1.98394725,-1.66446491666667,-0.319482333333334,1.24788270429704
"55","COL3A1","1",21.655052,-1.41545225,-1.66446491666667,0.249012666666668,0.841472094242158
"56","COL3A1","1",21.309303,-1.76120125,-1.66446491666667,-0.0967363333333333,1.06935163552727
"57","COL3A1","1",21.635277,-1.43522725,-1.66446491666667,0.229237666666665,0.853085550945302
"58","COL3A1","1",21.474482,-1.59602225,-1.66446491666667,0.0684426666666651,0.953666889033276
"59","COL3A1","10",20.626404,-2.5718,-1.66446491666667,-0.907335083333334,1.87557776789909
"60","COL3A1","10",20.714167,-2.484037,-1.66446491666667,-0.819572083333335,1.76488243451734
"61","COL3A1","10",20.639482,-2.558722,-1.66446491666667,-0.894257083333334,1.85865252453127
"62","COL3A1","10",20.663645,-2.534559,-1.66446491666667,-0.870094083333336,1.82778209281752
