"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"247","TIMP-1","0",20.880121,-2.758785,-2.76198375,0.00319875000000014,0.997785251638557
"248","TIMP-1","0",20.805494,-2.833412,-2.76198375,-0.0714282499999994,1.05075640454749
"249","TIMP-1","0",20.847198,-2.791708,-2.76198375,-0.0297242500000001,1.02081699286145
"250","TIMP-1","0",20.974876,-2.66403,-2.76198375,0.0979537499999994,0.934357300082736
"251","TIMP-1","0.001",21.448555,-2.13714225,-2.76198375,0.6248415,0.648491019117846
"252","TIMP-1","0.001",21.009892,-2.57580525,-2.76198375,0.186178500000001,0.878930806912721
"253","TIMP-1","0.001",21.305727,-2.27997025,-2.76198375,0.482013500000002,0.715977670817522
"254","TIMP-1","0.001",21.747059,-1.83863825,-2.76198375,0.923345500000001,0.527284867992684
"255","TIMP-1","0.01",21.985636,-1.85980525,-2.76198375,0.902178499999999,0.535078141626485
"256","TIMP-1","0.01",22.01791,-1.82753125,-2.76198375,0.9344525,0.523241001178796
"257","TIMP-1","0.01",21.669706,-2.17573525,-2.76198375,0.586248500000001,0.666072673595226
"258","TIMP-1","0.01",21.929165,-1.91627625,-2.76198375,0.845707500000001,0.556437864157774
"259","TIMP-1","0.1",22.896215,-1.63213166666667,-2.76198375,1.12985208333333,0.456962574181142
"260","TIMP-1","0.1",22.185558,-2.34278866666667,-2.76198375,0.419195083333332,0.747841748088927
"261","TIMP-1","0.1",22.682436,-1.84591066666667,-2.76198375,0.916073083333331,0.52994954509616
"262","TIMP-1","0.1",22.069117,-2.45922966666667,-2.76198375,0.302754083333331,0.810703297709716
"263","TIMP-1","1",20.55395,-2.64918525,-2.76198375,0.112798500000001,0.924792434073495
"264","TIMP-1","1",21.073586,-2.12954925,-2.76198375,0.6324345,0.645086933554486
"265","TIMP-1","1",20.891775,-2.31136025,-2.76198375,0.4506235,0.731726544049997
"266","TIMP-1","1",20.986717,-2.21641825,-2.76198375,0.545565499999999,0.685122799025825
"267","TIMP-1","10",21.278418,-2.001374,-2.76198375,0.760609749999998,0.590246812244023
"268","TIMP-1","10",21.318417,-1.961375,-2.76198375,0.800608749999999,0.574106880063906
"269","TIMP-1","10",21.38047,-1.899322,-2.76198375,0.862661749999998,0.549936996140317
"270","TIMP-1","10",21.433529,-1.846263,-2.76198375,0.915720749999999,0.530078984573265
