"","gene","group","CT","deltaCT","mean_blank_deltaCT","delta_deltaCT","value"
"23","COL1A1","0",19.748783,-3.890123,-5.99787325,2.10775025,0.232008529452072
"24","COL1A1","0",16.347237,-7.291669,-5.99787325,-1.29379575,2.45172259214451
"25","COL1A1","0",17.242617,-6.396289,-5.99787325,-0.398415750000001,1.31805973011214
"26","COL1A1","0",17.225494,-6.413412,-5.99787325,-0.415538749999999,1.33379666785143
"27","COL1A1","0.001",19.134706,-4.45099125,-5.99787325,1.546882,0.342248945137379
"28","COL1A1","0.001",17.298029,-6.28766825,-5.99787325,-0.289795000000001,1.2224665587541
"29","COL1A1","0.001",16.647617,-6.93808025,-5.99787325,-0.940207,1.91880353164474
"30","COL1A1","0.001",16.854555,-6.73114225,-5.99787325,-0.733268999999999,1.66240166003886
"31","COL1A1","0.01",17.497698,-6.34774325,-5.99787325,-0.349870000000002,1.27444578293992
"32","COL1A1","0.01",17.617115,-6.22832625,-5.99787325,-0.230453000000003,1.17320327215372
"33","COL1A1","0.01",17.482302,-6.36313925,-5.99787325,-0.365266000000001,1.28811910734632
"34","COL1A1","0.01",17.650833,-6.19460825,-5.99787325,-0.196735000000003,1.14610164585459
"35","COL1A1","0.1",17.632963,-6.89538366666667,-5.99787325,-0.897510416666669,1.86284858750508
"36","COL1A1","0.1",17.91493,-6.61341666666667,-5.99787325,-0.615543416666671,1.53213499423036
"37","COL1A1","0.1",18.158518,-6.36982866666667,-5.99787325,-0.371955416666668,1.29410566236119
"38","COL1A1","0.1",18.068108,-6.46023866666667,-5.99787325,-0.46236541666667,1.37779898149475
"39","COL1A1","1",15.525619,-7.67751625,-5.99787325,-1.679643,3.20348669813556
"40","COL1A1","1",15.826623,-7.37651225,-5.99787325,-1.378639,2.60022956629877
"41","COL1A1","1",16.903303,-6.29983225,-5.99787325,-0.301958999999999,1.232817289489
"42","COL1A1","1",15.876598,-7.32653725,-5.99787325,-1.328664,2.51169972569495
"43","COL1A1","10",13.234784,-10.045008,-5.99787325,-4.04713475,16.5313741873511
"44","COL1A1","10",13.343347,-9.936445,-5.99787325,-3.93857175,15.3330388767374
"45","COL1A1","10",13.206635,-10.073157,-5.99787325,-4.07528375,16.8570917106921
"46","COL1A1","10",13.095634,-10.184158,-5.99787325,-4.18628475,18.2052765334324
